data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2,metric_alias_metrics_view_graph_3,metric_alias_metrics_view_graph_4,metric_alias_metrics_view_graph_5,metric_alias_metrics_view_graph_6,metric_alias_metrics_view_graph_7,metric_alias_metrics_view_graph_8,metric_alias_metrics_view_graph_9
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,,,
Full label,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw CPUUtilization Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g CPUUtilization Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ CPUUtilization Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:qAJehXcuRPCBMvdgrPllRA MasterCPUUtilization Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:pWvLdfISRyiGiCAJjHTNHw MasterCPUUtilization Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:fXVyDufaRhSosZXaGnhvfQ MasterCPUUtilization Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:SFGR5ScdTg2lGp9dS04kVw JVMMemoryPressure Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:HKv0EJ6yQF2kwhRJiHltaQ JVMMemoryPressure Minimum 60,ap-northeast-3:AWS/ES ClientId:194797381117 DomainName:es-ap-northeast-3-test NodeId:jaMiVzkxQXqM7Hue3V8r4g JVMMemoryPressure Minimum 60
Label,CPUUtilization,CPUUtilization,CPUUtilization,MasterCPUUtilization,MasterCPUUtilization,MasterCPUUtilization,JVMMemoryPressure,JVMMemoryPressure,JVMMemoryPressure
2024/03/10 07:27:00,2,7,2,10,5,7,25.5,35.2,50.1
2024/03/10 07:28:00,2,6,2,10,29,6,27.700000000000003,37.5,52.5
2024/03/10 07:29:00,6,5,4,9,6,10,31.900000000000002,39.7,36.6
2024/03/10 07:30:00,5,19,12,13,20,16,41.7,51.2,41.800000000000004
2024/03/10 07:31:00,10,5,8,16,14,23,46.2,53.5,47.400000000000006
2024/03/10 07:32:00,5,9,4,31,7,7,51.5,58.300000000000004,29.3
2024/03/10 07:33:00,8,15,3,10,6,6,71.60000000000001,62.6,9
2024/03/10 07:34:00,7,8,3,12,6,6,31.5,9,42.400000000000006
2024/03/10 07:35:00,26,19,15,14,14,16,57.800000000000004,18.6,46.7
2024/03/10 07:36:00,17,30,11,16,14,32,46.5,34.1,20.5
2024/03/10 07:37:00,30,34,4,15,6,7,24.200000000000003,49.1,10.8
2024/03/10 07:38:00,20,37,3,11,5,6,36.300000000000004,66.2,24.5
2024/03/10 07:39:00,31,26,12,11,5,8,18.6,79.4,20.8
2024/03/10 07:40:00,63,64,32,13,22,17,21.400000000000002,30.3,17.6
2024/03/10 07:41:00,51,69,29,15,13,21,22.8,67.2,25.200000000000003
2024/03/10 07:42:00,51,61,29,15,6,7,28.200000000000003,36.4,20.700000000000003
2024/03/10 07:43:00,47,61,25,9,9,7,35.7,69.10000000000001,34.7
2024/03/10 07:44:00,43,67,26,12,10,7,23.400000000000002,32.5,31.8
2024/03/10 07:45:00,67,81,39,13,19,11,27.8,66.2,36.2
2024/03/10 07:46:00,64,69,45,14,18,17,31.400000000000002,42.300000000000004,35.1
2024/03/10 07:47:00,68,72,38,25,6,9,29,24.5,35.7
2024/03/10 07:48:00,75,76,38,11,6,6,35.1,2.9000000000000004,55.900000000000006
2024/03/10 07:49:00,71,81,39,10,6,6,15.100000000000001,45.5,38.900000000000006
2024/03/10 07:50:00,66,81,39,14,10,28,24.400000000000002,23.6,46
2024/03/10 07:51:00,63,71,41,18,9,11,29,3.5,45.400000000000006
2024/03/10 07:52:00,61,84,41,19,7,10,19.6,49,47.2
2024/03/10 07:53:00,75,85,39,9,6,7,22.5,25.200000000000003,58.900000000000006
2024/03/10 07:54:00,62,87,37,13,6,7,24.5,5.7,10.200000000000001
2024/03/10 07:55:00,59,81,43,13,8,9,24.8,48,11.8
2024/03/10 07:56:00,62,77,45,13,10,20,27.1,28.200000000000003,17.8
2024/03/10 07:57:00,71,77,39,18,8,10,35.800000000000004,7.1000000000000005,22.5
2024/03/10 07:58:00,62,87,36,11,15,6,34.6,48.300000000000004,26.700000000000003
2024/03/10 07:59:00,63,86,37,11,6,7,20.200000000000003,27.6,24.1
2024/03/10 08:00:00,58,84,44,13,9,21,10.3,7.9,30.3
2024/03/10 08:01:00,72,77,42,26,9,17,20,49.900000000000006,28.8
2024/03/10 08:02:00,73,85,38,19,10,8,14.5,32.7,31.6
2024/03/10 08:03:00,71,88,40,11,7,9,34.6,12.8,29.900000000000002
2024/03/10 08:04:00,70,79,40,13,6,6,22.5,59.7,37.9
2024/03/10 08:05:00,78,75,46,14,12,19,23.200000000000003,39.6,37.1
2024/03/10 08:06:00,65,77,40,19,24,18,23.6,22,42.2
2024/03/10 08:07:00,72,72,37,17,7,18,32,3.5,38.400000000000006
2024/03/10 08:08:00,64,84,38,12,12,8,36,46.300000000000004,44.5
2024/03/10 08:09:00,65,86,39,11,5,7,28.5,21.200000000000003,53
2024/03/10 08:10:00,60,72,35,16,17,25,37.7,54,49.1
2024/03/10 08:11:00,62,78,30,20,28,23,39,22.700000000000003,44.300000000000004
2024/03/10 08:12:00,63,79,30,22,9,7,31.5,57.400000000000006,12.200000000000001
2024/03/10 08:13:00,56,78,25,9,6,6,14,23.900000000000002,36.4
2024/03/10 08:14:00,55,63,26,12,11,6,34.300000000000004,58.7,25.1
2024/03/10 08:15:00,27,49,12,14,24,19,26.200000000000003,20.8,35
2024/03/10 08:16:00,25,54,13,35,7,10,36.9,33.800000000000004,27.200000000000003
2024/03/10 08:17:00,31,45,5,16,7,7,19.5,50.400000000000006,32
2024/03/10 08:18:00,9,41,3,11,6,6,66.8,62.5,36.5
2024/03/10 08:19:00,30,15,4,10,6,7,39.6,73.7,38.5
2024/03/10 08:20:00,25,60,10,15,8,15,37.6,14.200000000000001,34.9
2024/03/10 08:21:00,39,38,6,10,23,21,9.200000000000001,30.6,33.4
2024/03/10 08:22:00,12,35,6,28,6,11,60.800000000000004,43.1,60.800000000000004
2024/03/10 08:23:00,23,48,3,9,5,6,34.4,56.7,51.800000000000004
2024/03/10 08:24:00,22,49,7,13,6,6,31.5,71.2,44.2
2024/03/10 08:25:00,17,54,11,13,8,24,11.100000000000001,6.4,30.900000000000002
2024/03/10 08:26:00,32,18,11,26,11,17,44.2,17.6,16.1
2024/03/10 08:27:00,21,63,4,9,8,7,40.7,35.4,24.400000000000002